DDR,"Fichte, Werner",,1,,,,,,,,,,
DDR,"Fiedler, Reinhold",,1,1,1,1,,,,,,,
DDR,"Fieger, Dora",,1,1,1,,,,,,,,
DDR,"Fischer, Dietmar",,,1,,1,,,,,,,
DDR,"Fischer, Hans-Joachim",,,,,1,,,,,,,
DDR,"Fliegel, Siegbert",,,1,1,1,,,,,,,
DDR,"Flieger, Alfred",,1,,,,,,,,,,
DDR/D,"Flierl, Bruno",,1,1,1,1,1,,,,,,
DDR,"Förster, Alfred",,,,,1,,,,,,,
DDR,"Franke, Gerhard",,1,1,1,,,,,,,,
DDR,"Franz, Dieter",1,1,1,,1,,,,,,,
DDR,"Frietzsche, Erich",,,1,,,,,,,,,
DDR,"Fritsch, Rolf",,1,,,,,,,,,,
DDR,"Fröhlich, Werner",,,1,,,,,,,,,
DDR,"Fuchs, Joachim",,,,1,1,,,,,,,
DDR,"Fuchs, Karl-Albert",1,1,1,1,1,,,,,,,
DDR,"Funke, Rainer",,,,1,1,,,,,,,
DDR,"Funkat, Walter",1,,1,,,,,,,,,
DDR,"Gampe, Hiltrud",1,,,,,,,,,,,
DDR,"Gaube, Andrea",,,,1,,,,,,,,
DDR,"Geisler, Reinhard",,,,1,1,,,,,,,
DDR,"Geisler, Wolfgang",1,,,,1,,,,,,,
DDR,"Gelbricht, Klaus-Jürgen",,,,1,,,,,,,,
DDR,"Gerhard, Max",,1,,,,,,,,,,
DDR,"Geyer, Bernhard",,,1,,,,,,,,,
DDR,"Geyer, Katrin",,,,,1,,,,,,,
DDR,"Gersonde, Petra",,,,,1,,,,,,,
DDR,"Gibbels, Gert",,,1,1,,,,,,,,
DDR,"Glißmeyer, Hans",,1,1,1,1,,,,,,,
DDR,"Götze, Hans",,,,1,,,,,,,,
DDR,"Grabowski, Horst",,,,1,,,,,,,,
DDR,"Graffunder, Heinz",,,1,,,,,,,,,
DDR,"Greiner, Johann",,,,1,,,,,,,,
DDR,"Griebel, Kurt",,,1,,,,,,,,,
DDR,"Griebel, Nikolaus",,1,1,1,1,,,,,,,
DDR,"Groer, Sieghard",,,,,1,,,,,,,
DDR,"Groh, Rainer",,,,1,,,,,,,,
DDR,"Grönwald, Bernd",1,1,1,1,1,,,,,,,
